LINK,Pob
60280101,1308
60280102,1213
60280103,1214
60280104,985
60280105,614
60280106,884
60280107,1292
60280108,1652
60280109,1616
60280110,713
60280111,1246
60280112,1015
60280113,951
60280114,1093
60280115,1383
60280201,1685
60280202,1427
60280203,1635
60280204,1754
60280205,1189
60280206,1345
60280207,1169
60280208,1244
60280301,1638
60280302,1613
60280303,2088
60280304,887
60280305,1792
60280306,871
60280307,1501
60280308,1955
60280309,1073
60280310,1034
60280311,890
60280312,1042
60280401,1875
60280402,1433
60280403,1625
60280404,1365
60280405,1500
60280406,1686
60280407,1660
60280408,1620
60280409,1850
60280410,1421
60280411,1471
60280412,1725
60280501,72
60280502,96
60280503,43
60280504,1109
60280505,98
60280506,718
60280507,430
60280508,279
60280509,239
60280510,249
60280511,1254
60280512,132
60280513,1356
60280601,1244
60280602,2310
60280603,1533
60280604,4290
60280605,2015
60280606,1892
60280607,1466
60280608,833
60280609,1145
60280610,3781
60280611,1103
60280612,1011
60280613,781
60280614,2861
60280615,4047
60280701,2444
60280702,2033
60280703,2163
60280704,1475
60280705,1527
60280706,1450
60280707,2443
60280708,1116
60280709,1351
60280710,1109
60280711,1597
60280801,382
60280802,287
60280803,85
60280804,238
60280805,1277
60280806,929
60280807,938
60280808,1099
60280809,114
60280810,1625
60280811,1405
60280812,1047
60280813,1028
60280901,1642
60280902,1282
60280903,1062
60280904,1950
60280905,1086
60280906,1229
60280907,1245
60280908,1325
60280909,1654
60281001,805
60281002,725
60281003,1134
60281004,796
60281005,893
60281006,1023
60281007,1338
60281008,1509
60281009,1035
60281010,1128
60281011,1136
60281012,1109
60281013,1999
60281014,1283
60281015,996
60281016,1016
60281017,823
60281101,1074
60281102,977
60281103,843
60281104,706
60281105,737
60281106,622
60281107,626
60281108,409
60281109,1460
60281110,1453
60281111,1659
60281112,876
60281113,753
60281201,1207
60281202,943
60281203,1231
60281204,873
60281205,960
60281206,557
60281207,740
60281208,891
60281209,996
60281210,1431
60281211,1161
60281301,1332
60281302,789
60281303,956
60281304,1651
60281305,1074
60281306,1071
60281307,1003
60281308,1311
60281309,1233
60281310,1177
60281311,1218
60281312,911
60281313,760
60281401,1546
60281402,1133
60281403,1687
60281404,1641
60281405,1453
60281406,1700
60281407,1697
60281408,1068
60281409,949
60281410,1258
60281501,961
60281502,882
60281503,965
60281504,1092
60281505,1107
60281506,890
60281507,1396
60281508,773
60281509,1813
60281510,1336
60281511,747
60281512,1031
60281601,891
60281602,1513
60281603,2059
